[  485754ms] [LOG] FPS: 43.349753694581274 | Frame avg: 23.06818181818182ms | Frame max: 34.4        ms | Game avg: 0.004545454545454545ms | Render avg: 0.006818181818181819ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  490759ms] [LOG] FPS: 41.96759711106773 | Frame avg: 23.827906976744185ms | Frame max: 33.300000000000004ms | Game avg: 0.002325581395348837ms | Render avg: 0.013953488372093023ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  495756ms] [LOG] FPS: 42.84575528098843 | Frame avg: 23.339534883720937ms | Frame max: 30.900000000000002ms | Game avg: 0.0         ms | Render avg: 0.0         ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  500775ms] [LOG] FPS: 42.918454935622314 | Frame avg: 23.3        ms | Frame max: 34.2        ms | Game avg: 0.0069767441860465115ms | Render avg: 0.004651162790697674ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  505758ms] [LOG] FPS: 40.995900409959 | Frame avg: 24.392682926829274ms | Frame max: 34.300000000000004ms | Game avg: 0.0         ms | Render avg: 0.009756097560975611ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  510752ms] [LOG] FPS: 41.29793510324484 | Frame avg: 24.21428571428571ms | Frame max: 34.10000000000001ms | Game avg: 0.004761904761904762ms | Render avg: 0.011904761904761906ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  515748ms] [LOG] FPS: 41.58004158004158 | Frame avg: 24.049999999999997ms | Frame max: 34.300000000000004ms | Game avg: 0.002380952380952381ms | Render avg: 0.004761904761904762ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  520740ms] [LOG] FPS: 41.824337781318455 | Frame avg: 23.909523809523815ms | Frame max: 34.4        ms | Game avg: 0.0         ms | Render avg: 0.004761904761904762ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  525758ms] [LOG] FPS: 40.995900409959 | Frame avg: 24.392682926829274ms | Frame max: 34.2        ms | Game avg: 0.004878048780487806ms | Render avg: 0.012195121951219513ms | Window hitches: 3 @ http://127.0.0.1:9999/pixl.js:5
[  530776ms] [LOG] FPS: 43.97537379067722 | Frame avg: 22.740000000000002ms | Frame max: 34.10000000000001ms | Game avg: 0.004444444444444445ms | Render avg: 0.004444444444444445ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  535766ms] [LOG] FPS: 41.011619958988376 | Frame avg: 24.383333333333333ms | Frame max: 34.2        ms | Game avg: 0.011904761904761906ms | Render avg: 0.009523809523809525ms | Window hitches: 4 @ http://127.0.0.1:9999/pixl.js:5
[  540775ms] [LOG] FPS: 40.39806877524878 | Frame avg: 24.753658536585373ms | Frame max: 34.800000000000004ms | Game avg: 0.002439024390243903ms | Render avg: 0.009756097560975611ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  545755ms] [LOG] FPS: 39.71405877680699 | Frame avg: 25.179999999999996ms | Frame max: 34.9        ms | Game avg: 0.0125      ms | Render avg: 0.015000000000000003ms | Window hitches: 4 @ http://127.0.0.1:9999/pixl.js:5
[  550772ms] [LOG] FPS: 42.11144843795906 | Frame avg: 23.746511627906976ms | Frame max: 36.8        ms | Game avg: 0.0069767441860465115ms | Render avg: 0.0186046511627907ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  555758ms] [LOG] FPS: 40.42595148885821 | Frame avg: 24.736585365853657ms | Frame max: 34.2        ms | Game avg: 0.004878048780487806ms | Render avg: 0.004878048780487806ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  560742ms] [LOG] FPS: 41.60887656033287 | Frame avg: 24.033333333333335ms | Frame max: 32.5        ms | Game avg: 0.0         ms | Render avg: 0.004761904761904762ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  565763ms] [LOG] FPS: 40.89775561097256 | Frame avg: 24.451219512195127ms | Frame max: 38.5        ms | Game avg: 0.007317073170731709ms | Render avg: 0.012195121951219513ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  570759ms] [LOG] FPS: 41.156295933365996 | Frame avg: 24.297619047619047ms | Frame max: 33.0        ms | Game avg: 0.009523809523809525ms | Render avg: 0.004761904761904762ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  575751ms] [LOG] FPS: 41.73705654377422 | Frame avg: 23.95952380952381ms | Frame max: 33.7        ms | Game avg: 0.002380952380952381ms | Render avg: 0.009523809523809525ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
